127.0.0.1 - - [08/Aug/2020:12:16:33 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [08/Aug/2020:12:16:34 +0900] "GET /CustomerManage/ HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [08/Aug/2020:12:16:34 +0900] "GET /CustomerManage/style.css HTTP/1.1" 200 1837
0:0:0:0:0:0:0:1 - - [08/Aug/2020:12:16:35 +0900] "GET /CustomerManage/LoginServlet HTTP/1.1" 200 827
0:0:0:0:0:0:0:1 - - [08/Aug/2020:12:16:35 +0900] "GET /CustomerManage/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2020:12:16:56 +0900] "GET /CustomerManage/LoginServlet HTTP/1.1" 200 827
0:0:0:0:0:0:0:1 - - [08/Aug/2020:12:16:56 +0900] "GET /CustomerManage/style.css HTTP/1.1" 200 1837
0:0:0:0:0:0:0:1 - - [08/Aug/2020:12:16:56 +0900] "GET /favicon.ico HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [08/Aug/2020:12:17:03 +0900] "POST /CustomerManage/LoginServlet HTTP/1.1" 200 1128
0:0:0:0:0:0:0:1 - - [08/Aug/2020:12:17:08 +0900] "POST /CustomerManage/CustomerCsvServlet HTTP/1.1" 200 1349
0:0:0:0:0:0:0:1 - - [08/Aug/2020:12:17:17 +0900] "POST /CustomerManage/CustomerCsvServlet HTTP/1.1" 200 378
0:0:0:0:0:0:0:1 - - [08/Aug/2020:12:17:58 +0900] "POST /CustomerManage/CustomerCsvServlet HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [08/Aug/2020:12:18:21 +0900] "POST /CustomerManage/CustomerCsvServlet HTTP/1.1" 200 1349
0:0:0:0:0:0:0:1 - - [08/Aug/2020:12:18:29 +0900] "POST /CustomerManage/CustomerCsvServlet HTTP/1.1" 200 378
0:0:0:0:0:0:0:1 - - [08/Aug/2020:12:18:32 +0900] "POST /CustomerManage/CustomerCsvServlet HTTP/1.1" 200 478
0:0:0:0:0:0:0:1 - - [08/Aug/2020:12:18:50 +0900] "POST /CustomerManage/CustomerCsvServlet HTTP/1.1" 200 1349
0:0:0:0:0:0:0:1 - - [08/Aug/2020:12:18:51 +0900] "POST /CustomerManage/CustomerCsvServlet HTTP/1.1" 200 747
0:0:0:0:0:0:0:1 - - [08/Aug/2020:12:19:22 +0900] "POST /CustomerManage/CustomerCsvServlet HTTP/1.1" 200 677
0:0:0:0:0:0:0:1 - - [08/Aug/2020:12:19:31 +0900] "POST /CustomerManage/CustomerCsvServlet HTTP/1.1" 200 1349
0:0:0:0:0:0:0:1 - - [08/Aug/2020:12:20:04 +0900] "POST /CustomerManage/CustomerCsvServlet HTTP/1.1" 200 677
0:0:0:0:0:0:0:1 - - [08/Aug/2020:12:20:15 +0900] "POST /CustomerManage/CustomerCsvServlet HTTP/1.1" 200 1349
0:0:0:0:0:0:0:1 - - [08/Aug/2020:12:20:33 +0900] "POST /CustomerManage/CustomerCsvServlet HTTP/1.1" 200 678
0:0:0:0:0:0:0:1 - - [08/Aug/2020:12:21:24 +0900] "POST /CustomerManage/CustomerCsvServlet HTTP/1.1" 200 1349
0:0:0:0:0:0:0:1 - - [08/Aug/2020:12:21:29 +0900] "POST /CustomerManage/CustomerCsvServlet HTTP/1.1" 200 478
0:0:0:0:0:0:0:1 - - [08/Aug/2020:12:21:30 +0900] "POST /CustomerManage/CustomerCsvServlet HTTP/1.1" 200 1349
